Season,Rk,ID,Name,TGTS,REC,YDS,TD,HOG_RATE,SNAP_SHARE,AVG_TGT_DIST,TOT_AIR_YARDS,AY/GAME,AY/REC,TOT_TGTS,Redzone_Tgts,Endzone_Tgts,Tgt_Accuracy,Tgt_Share,FP/TGT
2021,1,18882,C. Kupp,191,145,1947,16,19.31,94.01,8.32,1590,93.52,11,191,38,11,7.76,31.72,2.3
2021,2,16470,D. Adams,169,123,1553,11,20.99,80.33,8.99,1520,95,12.4,169,28,11,7.33,31.58,2.04
2021,3,20932,D. Samuel,120,77,1405,6,14.94,81.44,8.09,971,60.68,12.6,120,10,6,7.14,27.77,2.82
2021,4,21685,J. Jefferson,167,108,1616,10,17.32,89.01,11.95,1996,117.41,18.5,167,23,15,7.41,29.87,1.98
2021,5,22564,J. Chase,128,81,1455,13,14.23,86.11,11.96,1532,90.11,18.9,128,12,12,7.3,23.7,2.38
2021,6,18082,T. Hill,159,111,1239,9,19.17,73.23,10.74,1709,100.52,15.4,159,24,11,7.79,25.07,1.86
2021,7,16906,S. Diggs,164,103,1225,10,17.35,82.74,11.14,1828,107.52,17.7,164,34,23,7.33,26.36,1.74
2021,8,21077,D. Johnson,169,107,1161,8,18.13,91.01,8.22,1390,86.87,13,169,23,7,7.63,28.49,1.62
2021,9,16597,M. Evans,113,74,1035,14,12.73,83.05,12.86,1454,90.87,19.6,113,19,13,6.96,16.42,2.32
2021,10,20924,H. Renfrow,128,103,1038,9,17.82,66.05,6.64,851,50.05,8.3,128,24,11,8.33,21.69,2.02
2021,11,15076,K. Allen,157,106,1138,6,16.89,88.14,8.94,1404,87.75,13.2,157,25,8,7.53,25.12,1.64
2021,12,18914,M. Williams,129,76,1146,9,15,81.05,10.66,1376,86,18.1,129,23,13,7.01,20.77,1.91
2021,13,22598,J. Waddle,142,104,1015,6,16.41,84.22,6.3,895,55.93,8.6,142,15,3,8.02,24.78,1.73
2021,14,20875,D. Metcalf,129,75,967,12,16.22,83.42,12.44,1605,94.41,21.4,129,19,11,7.32,27.27,1.89
2021,15,18880,C. Godwin,128,98,1103,5,15.86,86.21,7.01,898,64.14,9.2,128,26,8,7.85,21.29,1.89
2021,16,16830,T. Lockett,107,73,1175,8,13.52,87.88,13.63,1459,91.18,20,107,7,6,7.28,24.04,2.26
2021,17,21744,M. Pittman Jr.,129,88,1082,6,13.96,87.74,8.75,1129,66.41,12.8,129,17,8,7.2,25.69,1.85
2021,18,19844,D. Moore,162,93,1157,4,16.8,87.23,10.07,1632,96,17.5,162,13,8,6.55,28.37,1.47
2021,19,21679,C. Lamb,120,79,1102,6,14.38,77.29,9.35,1123,70.18,14.2,120,11,6,7.29,20.37,1.94
2021,20,16568,B. Cooks,133,90,1037,6,16.7,83.96,10.73,1428,89.25,15.9,133,9,5,7.18,26.92,1.74
2021,21,22587,A. St. Brown,119,90,912,5,15.29,74.52,6.77,806,47.41,9,119,14,4,7.5,21.44,1.91
2021,22,21045,M. Brown,145,91,1008,6,16.55,80.07,10.46,1518,94.87,16.7,145,16,11,7.03,26.7,1.56
2021,23,21961,D. Mooney,140,81,1055,4,14.87,87.77,10.56,1479,87,18.3,140,11,8,6.64,26.71,1.57
2021,24,21690,T. Higgins,110,74,1091,6,15.49,78.97,11.81,1300,92.85,17.6,110,13,10,7.56,23.86,1.99
2021,25,20873,T. McLaurin,131,77,1053,5,13.47,90.08,12.64,1656,97.41,21.5,131,9,10,6.81,24.53,1.63
2021,26,19815,C. Kirk,103,77,982,5,12.43,73.6,11.24,1158,68.11,15,103,10,8,7.79,18.07,2.02
2021,27,16765,A. Cooper,103,68,865,8,13.02,77.93,11.5,1185,79,17.4,103,19,9,7.33,18.83,1.97
2021,28,15534,A. Thielen,95,67,726,10,13.21,84.29,9.9,941,72.38,14,95,15,8,7.23,20.97,2.1
2021,29,20876,J. Meyers,126,83,867,2,14.53,82.65,9.61,1211,71.23,14.6,126,13,4,7.18,24.37,1.48
2021,30,21687,D. Smith,103,64,916,5,11.73,82.83,14.43,1487,87.47,23.2,103,8,11,7.03,22.1,1.8
2021,31,17986,T. Boyd,94,67,828,5,12.11,78.14,7.34,690,43.12,10.3,94,7,4,7.42,18.39,1.96
2021,32,21042,A. Brown,105,63,869,5,18.32,70.04,10.95,1150,88.46,18.3,105,10,9,7.5,26.99,1.72
2021,33,19318,K. Bourne,70,55,800,5,12.63,52.81,8.35,585,34.41,10.6,70,7,3,7.89,13.53,2.58
2021,34,13870,M. Jones Jr.,118,73,832,4,12.68,90.2,11.47,1354,79.64,18.5,118,16,13,7.24,20.27,1.53
2021,35,21747,B. Aiyuk,85,56,826,5,9.77,83.57,9.48,806,47.41,14.4,85,10,10,7.41,18.51,2
2021,36,21739,V. Jefferson,89,50,802,6,10.43,81.08,13.28,1182,69.52,23.6,89,16,9,7.02,14.78,1.89
2021,37,21752,C. Claypool,105,59,860,2,13.61,80.22,11.45,1203,80.2,20.4,105,13,8,7.07,18.65,1.59
2021,38,20006,R. Gage,93,66,770,4,16.63,72.22,9.17,853,60.92,12.9,93,14,6,7.68,22.03,1.75
2021,39,14141,C. Beasley,112,82,693,1,17.15,61.31,5.41,606,37.87,7.4,112,13,2,7.74,19.34,1.42
2021,40,21714,K. Osborn,82,50,655,7,11.2,67.59,10.52,863,50.76,17.3,82,8,5,6.4,14.66,1.93
2021,41,12845,A. Green,92,54,848,3,10.84,80.22,12.58,1158,72.37,21.4,92,16,11,6.92,16.91,1.7
2021,42,19207,T. Patrick,85,53,734,5,10.58,82.35,11.8,1003,62.68,18.9,85,11,8,7.2,17.31,1.84
2021,43,21750,M. Callaway,84,46,698,6,10.44,69.79,12.6,1059,62.29,23,84,9,8,6.87,17.87,1.81
2021,44,19800,C. Sutton,98,58,776,2,11.11,85.46,15.65,1534,90.23,26.4,98,11,4,7.21,18.91,1.53
2021,45,20013,C. Wilson Jr.,61,45,602,6,12.29,45.63,9.47,578,36.12,12.8,61,9,2,8.27,10.23,2.42
2021,46,14986,D. Hopkins,63,42,572,8,11.66,83.85,12.36,779,77.9,18.5,63,15,10,7.26,20.45,2.34
2021,47,20145,A. Lazard,60,40,513,8,8.69,72.78,11,660,44,16.5,60,16,11,7.5,11.9,2.38
2021,48,20788,M. Hardman,83,59,693,2,13.69,53.53,7.51,624,36.7,10.6,83,16,3,8.19,13.09,1.7
2021,49,18187,R. Anderson,110,53,519,5,11.7,85.06,9.74,1072,63.05,20.2,110,8,6,6.15,19.26,1.26
2021,50,22592,E. Moore,77,43,538,5,16.24,68.1,10.79,831,75.54,19.3,77,8,3,6.78,18.59,1.79
2021,51,14871,R. Woods,69,45,556,4,12.99,93.65,8.13,561,62.33,12.5,69,16,5,7.31,21.49,1.99
2021,52,16020,J. Landry,85,52,570,2,16.86,69.61,5.23,445,37.08,8.6,85,10,3,6.38,24.7,1.56
2021,53,18422,K. Raymond,71,48,576,4,10.18,70.83,9.53,677,42.31,14.1,71,5,0,7.25,13.65,1.86
2021,54,11063,E. Sanders,72,42,626,4,10.01,77.39,15.62,1125,80.35,26.8,72,10,11,7.15,13.76,1.83
2021,55,16389,O. Beckham Jr.,82,44,537,5,12.75,72.73,11.45,939,67.07,21.3,82,12,7,6.89,17.74,1.57
2021,56,21697,L. Shenault Jr.,99,63,619,0,14.88,69.34,5.39,534,33.37,8.5,99,10,4,7.27,18.09,1.28
2021,57,20150,B. Pringle,60,42,568,5,11.09,47.79,11.1,666,39.17,15.9,60,6,4,7.79,9.46,2.11
2021,58,21735,G. Davis,63,35,549,6,12,49.29,13.39,844,52.75,24.1,63,17,11,6.46,10.88,2
2021,59,11056,A. Brown,62,42,545,4,23.48,55.81,10.64,660,94.28,15.7,62,3,4,7.7,21.6,1.95
2021,60,20038,B. Berrios,65,46,431,2,17.42,37.82,4.61,300,18.75,6.5,65,8,2,7.3,11.6,1.86
2021,61,21957,Q. Watkins,62,43,647,1,8.32,70.28,11.16,692,40.7,16.1,62,7,3,7.37,13.3,1.87
2021,62,21163,D. Harty,59,36,570,3,22.18,29.23,7.69,454,34.92,12.6,59,5,0,5.38,15.77,1.92
2021,63,16866,J. Crowder,72,51,447,2,14.4,68.39,6.26,451,37.58,8.8,72,12,2,8.22,16.86,1.52
2021,64,21754,D. Peoples-Jones,58,34,597,3,8.69,77.1,14.68,852,60.85,25.1,58,4,3,7.11,14.42,1.89
