Season,Rk,ID,Name,Age,TGTS,REC,YDS,TD,Cushion,TGT_SEP,True_Catch_Rate,Contested_TGTS,Contested_REC,Contested_Rate,Y/REC,Y/TGT,Y/ROUTE,Total_Drops,Drop_Rate
2021,1,18882,C. Kupp,29,191,145,1947,16,4.36,1.66,93.54,62,13,20.96,13.42,10.19,3.32,4,2.09
2021,2,16470,D. Adams,29.5,169,123,1553,11,4.22,1.61,91.11,42,9,21.42,12.62,9.18,3.24,6,3.55
2021,3,20932,D. Samuel,26.4,120,77,1405,6,4.74,1.64,81.91,23,10,43.47,18.24,11.7,3.23,10,8.33
2021,4,21685,J. Jefferson,23.4,167,108,1616,10,4.38,1.53,81.2,30,10,33.33,14.96,9.67,2.75,11,6.58
2021,5,22564,J. Chase,22.3,128,81,1455,13,3.89,1.53,80.19,36,9,25,17.96,11.36,2.71,8,6.25
2021,6,18082,T. Hill,28.3,159,111,1239,9,4.26,1.68,88.09,30,6,20,11.16,7.79,2.31,6,3.77
2021,7,16906,S. Diggs,28.5,164,103,1225,10,4,1.56,87.28,35,14,40,11.89,7.46,2.16,4,2.43
2021,8,21077,D. Johnson,25.9,169,107,1161,8,3.68,1.89,81.67,28,12,42.85,10.85,6.86,1.95,9,5.32
2021,9,16597,M. Evans,28.8,113,74,1035,14,3.91,1.73,90.24,44,18,40.9,13.98,9.15,1.76,5,4.42
2021,10,20924,H. Renfrow,26.5,128,103,1038,9,4.02,2.14,91.96,26,7,26.92,10.07,8.1,2.08,4,3.12
2021,11,15076,K. Allen,30.1,157,106,1138,6,4.39,1.61,80.91,20,12,60,10.73,7.24,1.93,11,7
2021,12,18914,M. Williams,27.7,129,76,1146,9,3.98,1.41,80.85,30,16,53.33,15.07,8.88,2.11,8,6.2
2021,13,22598,J. Waddle,23.5,142,104,1015,6,4.27,1.85,110.63,28,10,35.71,9.75,7.14,1.87,5,3.52
2021,14,20875,D. Metcalf,24.5,129,75,967,12,5.12,1.23,76.53,31,11,35.48,12.89,7.49,2.1,7,5.42
2021,15,18880,C. Godwin,26.3,128,98,1103,5,4.08,1.62,92.45,25,10,40,11.25,8.61,2.07,7,5.46
2021,16,16830,T. Lockett,29.7,107,73,1175,8,5.13,1.67,97.33,20,8,40,16.09,10.98,2.57,0,0
2021,17,21744,M. Pittman Jr.,24.7,129,88,1082,6,4.5,1.75,88.88,42,17,40.47,12.29,8.38,2.11,4,3.1
2021,18,19844,D. Moore,25.2,162,93,1157,4,4.45,1.59,80.17,41,12,29.26,12.44,7.14,2.02,11,6.79
2021,19,21679,C. Lamb,23.2,120,79,1102,6,4.52,1.65,84.94,19,6,31.57,13.94,9.18,2.26,9,7.5
2021,20,16568,B. Cooks,28.7,133,90,1037,6,4.85,1.83,96.77,17,9,52.94,11.52,7.79,2.14,5,3.75
2021,21,22587,A. St. Brown,22.6,119,90,912,5,4.89,1.58,89.1,18,11,61.11,10.13,7.66,1.89,3,2.52
2021,22,21045,M. Brown,25,145,91,1008,6,5.66,1.74,85.84,30,5,16.66,11.07,6.95,1.94,7,4.82
2021,23,21961,D. Mooney,24.6,140,81,1055,4,5.49,1.95,77.14,36,7,19.44,13.02,7.53,2.05,4,2.85
2021,24,21690,T. Higgins,23.4,110,74,1091,6,4.33,1.7,78.72,40,10,25,14.74,9.91,2.42,5,4.54
2021,25,20873,T. McLaurin,26.7,131,77,1053,5,4.18,1.25,81.91,34,15,44.11,13.67,8.03,2.05,5,3.81
2021,26,19815,C. Kirk,25.6,103,77,982,5,4.7,1.76,87.5,20,12,60,12.75,9.53,2,6,5.82
2021,27,16765,A. Cooper,28,103,68,865,8,5.02,1.72,82.92,18,8,44.44,12.72,8.39,1.89,6,5.82
2021,28,15534,A. Thielen,31.8,95,67,726,10,4.76,1.35,89.33,27,11,40.74,10.83,7.64,1.74,0,0
2021,29,20876,J. Meyers,25.6,126,83,867,2,4.62,1.6,89.24,41,15,36.58,10.44,6.88,1.78,2,1.58
2021,30,21687,D. Smith,23.6,103,64,916,5,4.53,1.78,81.01,34,11,32.35,14.31,8.89,2.15,5,4.85
2021,31,17986,T. Boyd,27.6,94,67,828,5,4.19,1.94,95.71,21,6,28.57,12.35,8.8,1.66,1,1.06
2021,32,21042,A. Brown,24.9,105,63,869,5,4.49,1.47,82.89,23,12,52.17,13.79,8.27,2.72,6,5.71
2021,33,19318,K. Bourne,26.8,70,55,800,5,4.47,1.7,96.49,18,7,38.88,14.54,11.42,2.12,2,2.85
2021,34,13870,M. Jones Jr.,32.2,118,73,832,4,4.99,1.36,96.05,32,17,53.12,11.39,7.05,1.47,6,5.08
2021,35,21747,B. Aiyuk,24.2,85,56,826,5,5.15,1.36,80,21,10,47.61,14.75,9.71,1.88,3,3.52
2021,36,21739,V. Jefferson,25.9,89,50,802,6,4.62,1.42,74.62,31,5,16.12,16.04,9.01,1.55,11,12.35
2021,37,21752,C. Claypool,23.9,105,59,860,2,4.17,1.27,71.08,34,17,50,14.57,8.19,1.77,7,6.66
2021,38,20006,R. Gage,26.4,93,66,770,4,4.51,1.76,88,16,6,37.5,11.66,8.27,2.18,5,5.37
2021,39,14141,C. Beasley,33.1,112,82,693,1,4.27,1.85,92.13,18,3,16.66,8.45,6.18,1.61,6,5.35
2021,40,21714,K. Osborn,25,82,50,655,7,4.69,1.52,90.9,19,6,31.57,13.1,7.98,1.38,1,1.21
2021,41,12845,A. Green,33.9,92,54,848,3,4.88,1.43,79.41,21,8,38.09,15.7,9.21,1.76,7,7.6
2021,42,19207,T. Patrick,28.5,85,53,734,5,4.73,1.82,81.53,16,4,25,13.84,8.63,1.63,6,7.05
2021,43,21750,M. Callaway,24.2,84,46,698,6,4.5,1.55,77.96,22,8,36.36,15.17,8.3,1.69,4,4.76
2021,44,19800,C. Sutton,26.7,98,58,776,2,4.21,1.6,72.5,20,6,30,13.37,7.91,1.56,6,6.12
2021,45,20013,C. Wilson Jr.,26.6,61,45,602,6,4.46,1.88,80.35,7,3,42.85,13.37,9.86,1.9,1,1.63
